id,arquivo,modelo,prompt_name,Encontrados dos Selecionados da revisão,Encontrados do Total da revisão,Total da pesquisa,Selecionados/Total_revisao,Selecionados/Total_busca,Revisao/Total_busca,F1 Score,article,answer,execution_time
28,scopus (28).csv,mistral-nemo:latest,prompt2,7.0,9.0,450.0,0.25926,0.01556,0.02,0.0175,Using machine learning to infer constraints for product lines,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"") AND (""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"" OR ""feature models"" OR ""configuration constraints"")",8.42
29,scopus (29).csv,mistral-nemo:latest,prompt2,3.0,4.0,12.0,0.11111,0.25,0.33333,0.28571,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable systems"" OR ""software product lines"" OR ""SPL"" OR ""product line engineering"") AND (""performance prediction"" OR ""performance estimation"" OR ""variant analysis"" OR ""feature selection"") AND (""sampling strategies"" OR ""sample size determination"" OR ""measurement effort"" OR ""prediction accuracy"")",10.36
3,scopus (3).csv,gemma3:12b,prompt0,1.0,28.0,760.0,0.03704,0.00132,0.03684,0.00254,Using machine learning to infer constraints for product lines,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""classification"" OR ""learning"") AND (""product line"" OR ""product-line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"" OR ""configuration management"" OR ""feature selection"") AND (""constraint"" OR ""constraints"" OR ""rules"" OR ""restrictions"" OR ""limitations"") AND (""oracle"" OR ""validation"" OR ""verification"" OR ""assessment"" OR ""evaluation"")",28.98
30,scopus (30).csv,llama3.1:latest,prompt0,3.0,4.0,126.0,0.11111,0.02381,0.03175,0.02721,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"") AND (""non-functional properties"" OR ""performance optimization"" OR ""footprint reduction"" OR ""energy efficiency"" OR ""variant derivation"" OR ""optimization goals"" OR ""measurement and evaluation"" OR ""holistic approach"" OR ""quantitative measurement"" OR ""qualitative specification"")",11.64
31,scopus (31).csv,llama3.1:latest,prompt0,0.0,0.0,32.0,0.0,0.0,0.0,,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"") AND (""non-functional properties"" OR ""performance"" OR ""binary size"" OR ""efficiency"" OR ""effectiveness"" OR ""quality attributes"") AND (""measurement techniques"" OR ""evaluation methods"" OR ""configuration optimization"" OR ""user needs"" OR ""requirements analysis"")",5.44
32,scopus (32).csv,llama3.1:latest,prompt0,3.0,22.0,1522.0,0.11111,0.00197,0.01445,0.00347,Machine learning techniques to predict software defect,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""predictive models"") AND (""software defect"" OR ""defect prediction"" OR ""fault prediction"" OR ""software quality"" OR ""variability management"" OR ""product line engineering"" OR ""SPL"")",4.88
33,scopus (33).csv,llama3.1:latest,prompt0,0.0,50.0,11437.0,0.0,0.0,0.00437,0.0,Using machine learning to infer constraints for product lines,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""inference"" OR ""constraint inference"") AND (""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"" OR ""constraints"" OR ""cross-tree constraints"")",4.76
34,scopus (34).csv,llama3.1:latest,prompt0,6.0,7.0,659.0,0.22222,0.0091,0.01062,0.00981,Cost-efficient sampling for performance prediction of configurable systems,"(""sampling strategies"" OR ""performance prediction"" OR ""configurable systems"" OR ""system variants"") AND (""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"" OR ""feature combinatorics"" OR ""prediction accuracy"" OR ""measurement effort"")",4.49
35,scopus (35).csv,llama3.1:latest,prompt1,3.0,4.0,106.0,0.11111,0.0283,0.03774,0.03235,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"" OR ""program family"" OR ""family of products"") AND (""non-functional properties"" OR ""performance optimization"" OR ""footprint reduction"" OR ""energy efficiency"" OR ""optimization goals"" OR ""variant derivation"" OR ""measurement and evaluation"")",5.74
36,scopus (36).csv,llama3.1:latest,prompt1,3.0,4.0,175.0,0.11111,0.01714,0.02286,0.01959,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"" OR ""component-based design"" OR ""modular software development"") AND (""non-functional properties"" OR ""performance metrics"" OR ""binary size optimization"" OR ""efficiency measurement"" OR ""quality attributes"")",4.57
37,scopus (37).csv,llama3.1:latest,prompt1,1.0,15.0,1309.0,0.03704,0.00076,0.01146,0.00143,Machine learning techniques to predict software defect,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""predictive modeling"") AND (""software defect prediction"" OR ""defect detection"" OR ""fault prediction"" OR ""variability management"" OR ""product line engineering"" OR ""software quality assurance"")",4.61
38,scopus (38).csv,llama3.1:latest,prompt1,7.0,10.0,405.0,0.25926,0.01728,0.02469,0.02033,Using machine learning to infer constraints for product lines,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""artificial intelligence"" OR ""AI"") AND (""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"" OR ""feature configuration"" OR ""configuration constraints"" OR ""constraint inference"")",4.98
39,scopus (39).csv,llama3.1:latest,prompt1,5.0,5.0,34.0,0.18519,0.14706,0.14706,0.14706,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable systems"" OR ""variable systems"" OR ""product lines"" OR ""software product families"") AND (""performance prediction"" OR ""predictive modeling"" OR ""sampling strategies"" OR ""cost-efficient sampling"")",3.35
4,scopus (4).csv,gemma3:12b,prompt0,1.0,1.0,3.0,0.03704,0.33333,0.33333,0.33333,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable system"" OR ""configurable systems"" OR ""product line"" OR ""product lines"" OR ""software product line"" OR ""SPL"") AND (""performance prediction"" OR ""performance modeling"" OR ""performance evaluation"" OR ""performance analysis"") AND (""sampling"" OR ""sample selection"" OR ""subset selection"" OR ""reduced set"") AND (""feature"" OR ""features"" OR ""variability"")",22.12
40,scopus (40).csv,llama3.1:latest,prompt2,2.0,3.0,27.0,0.07407,0.07407,0.11111,0.08889,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"") AND (""non-functional properties"" OR ""performance optimization"" OR ""energy efficiency"" OR ""footprint reduction"") AND (""optimization"" OR ""measurement"" OR ""quantification"" OR ""variant derivation"")",5.26
41,scopus (41).csv,llama3.1:latest,prompt2,1.0,2.0,44.0,0.03704,0.02273,0.04545,0.0303,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"") AND (""non-functional properties"" OR ""performance"" OR ""binary size"" OR ""efficiency"" OR ""effectiveness"" OR ""usability"" OR ""reliability"" OR ""maintainability"") AND (""software derivation"" OR ""product derivation"" OR ""configuration process"" OR ""code reuse"" OR ""domain-specific software development"")",6.68
42,scopus (42).csv,llama3.1:latest,prompt2,2.0,16.0,1720.0,0.07407,0.00116,0.0093,0.00207,Machine learning techniques to predict software defect,"(""machine learning"" OR ""ML"" OR ""predictive models"" OR ""artificial intelligence"") AND (""software defect prediction"" OR ""defect detection"" OR ""fault prediction"" OR ""software quality assessment"" OR ""variability management"" OR ""product line engineering"" OR ""SPL"")",4.52
43,scopus (43).csv,llama3.1:latest,prompt2,7.0,10.0,530.0,0.25926,0.01321,0.01887,0.01554,Using machine learning to infer constraints for product lines,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""artificial intelligence"" OR ""AI"") AND (""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"" OR ""feature configuration"" OR ""configuration management"" OR ""constraints inference"" OR ""constraint-based reasoning"")",5.66
44,scopus (44).csv,llama3.1:latest,prompt2,4.0,28.0,1418.0,0.14815,0.00282,0.01975,0.00494,Cost-efficient sampling for performance prediction of configurable systems,"(""sampling"" OR ""stratified sampling"" OR ""random sampling"" OR ""system performance prediction"") AND (""configurable systems"" OR ""software product line variability"" OR ""product line engineering"" OR ""variability management"" OR ""feature selection"" OR ""feature combinatorics"")",4.27
5,scopus (5).csv,gemma3:12b,prompt1,0.0,0.0,1.0,0.0,0.0,0.0,,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR SPL OR ""product line engineering"" OR ""product family"") AND (""non-functional properties"" OR ""quality attributes"" OR performance OR footprint OR energy OR efficiency OR ""quality of service"" OR QoS) AND (""optimization"" OR ""optimization techniques"" OR ""performance tuning"" OR ""trade-off analysis"") AND (""variability management"" OR ""feature engineering"" OR ""configuration management"")",26.18
6,scopus (6).csv,gemma3:12b,prompt1,4.0,7.0,1899.0,0.14815,0.00211,0.00369,0.00268,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""product family"") AND (""non-functional properties"" OR ""quality attributes"" OR ""performance"" OR ""reliability"" OR ""security"" OR ""maintainability"" OR ""scalability"" OR ""usability"" OR ""efficiency"") AND (""measurement"" OR ""metrics"" OR ""evaluation"" OR ""assessment"" OR ""analysis"")",22.63
7,scopus (7).csv,gemma3:12b,prompt1,1.0,22.0,18198.0,0.03704,5e-05,0.00121,0.00011,Machine learning techniques to predict software defect,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""neural network"" OR ""classification"" OR ""prediction"") AND (""software defect"" OR ""defect prediction"" OR ""fault prediction"" OR ""bug prediction"" OR ""software quality"" OR ""fault detection"" OR ""error prediction"")",19.49
8,scopus (8).csv,gemma3:12b,prompt1,3.0,3.0,122.0,0.11111,0.02459,0.02459,0.02459,Using machine learning to infer constraints for product lines,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""classification"" OR ""learning"") AND (""product line"" OR ""product-line"" OR ""SPL"" OR ""product line engineering"" OR ""product family"" OR ""variability management"" OR ""configuration management"" OR ""software variants"") AND (""constraint"" OR ""constraints"" OR ""rules"" OR ""restrictions"" OR ""limitations"" OR ""dependencies"")",25.04
9,scopus (9).csv,gemma3:12b,prompt1,4.0,4.0,14.0,0.14815,0.28571,0.28571,0.28571,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable systems"" OR ""product family"" OR ""product line"" OR ""variant generation"" OR ""system variants"" OR ""feature combinations"") AND (""performance prediction"" OR ""performance modeling"" OR ""performance evaluation"" OR ""system performance"" OR ""runtime prediction"") AND (""sampling"" OR ""sample selection"" OR ""data sampling"" OR ""subset selection"" OR ""experimental design"")",20.81
