"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Abstract","Open Access"
"Yang Y.; Cui Y.; Xu K.; Liu B.; Song M.; Chen J.; Wang H.; Chen Y.; Guo H.; Li P.; Lu L.; Lv L.; Wan P.; Wang H.; Yan H.; Yan J.; Zhang H.; Zhang D.; Jiang T.","Yang, Yong (59061021600); Cui, Yue (55635904500); Xu, Kaibing (56707928400); Liu, Bing (56165276300); Song, Ming (7401474579); Chen, Jun (57223152663); Wang, Huiling (35489310300); Chen, Yunchun (57215338508); Guo, Hua (57202976554); Li, Peng (57020291700); Lu, Lin (35262773400); Lv, Luxian (57219697647); Wan, Ping (59109684700); Wang, Huaning (35109844400); Yan, Hao (35328718000); Yan, Jun (56608387900); Zhang, Hongxing (36077804300); Zhang, Dai (55020027800); Jiang, Tianzi (55660729800)","59061021600; 55635904500; 56707928400; 56165276300; 7401474579; 57223152663; 35489310300; 57215338508; 57202976554; 57020291700; 35262773400; 57219697647; 59109684700; 35109844400; 35328718000; 56608387900; 36077804300; 55020027800; 55660729800","Distributed functional connectivity impairment in schizophrenia: A multi-site study","2017","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035000701&partnerID=40&md5=b46d7ec79ad4439514517fb6dacc5573","Schizophrenia has been considered as a dysconneciton syndrome, which means the disintegration, or over interaction between brain regions may underlie the pathophysiology of this disease. Noninvasive techniques like functional magnetic resonance imaging (fMRI) were utilized to test this hypothesis. However, there is no consensus on which brain areas and which functional network is related with it, mostly due to the small sample size of previous studies. Supervised machine learning techniques are able to examine fMRI connectivity data in a multivariate manner and extract features predictive of group membership. This technique requires large sample sizes and results from small sample study may not generalize well. By applying a multi-task classification framework to large size multi-site schizophrenia resting functional MRI (rsMRI) dataset, we were able to find consistent and robust features. We observed that schizophrenia patients had widespread deficits in the brain. The most informative and robustly selected functional connectivity (FC) features were between and within functional networks such as the default mode network (DMN), the fronto-parietal control network (FPN), the subcortical network, and the cingulo-opercular task control network (CON). Our finding validated the dysconnection hypothesis of schizophrenia and shed light on the details of the impaired functional connectivity.",""
"Wan C.","Wan, Cen (56047974200)","56047974200","Data mining tasks and paradigms","2019","0","10.1007/978-3-319-97919-9_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058707795&doi=10.1007%2f978-3-319-97919-9_2&partnerID=40&md5=7aded6213b19275866a23cfe0d69c31f","Data Mining tasks are types of problems to be solved by a data mining or machine learning algorithm. The main types of data mining tasks can be categorised as classification, regression, clustering and association rule mining. The former two tasks (classification and regression) are also grouped as the supervised learning paradigm, whereas the latter one (clustering) is categorised as unsupervised learning. © Springer Nature Switzerland AG 2019.",""
"Ortega J.; Asensio-Cubero J.; Gan J.Q.; Ortiz A.","Ortega, Julio (7402623866); Asensio-Cubero, Javier (55545944400); Gan, John Q. (7102366815); Ortiz, Andrés (18434650900)","7402623866; 55545944400; 7102366815; 18434650900","Classification of motor imagery tasks for BCI with multiresolution analysis and multiobjective feature selection","2016","31","10.1186/s12938-016-0178-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978289159&doi=10.1186%2fs12938-016-0178-x&partnerID=40&md5=43851c55c7e7460aaec7c8ba8a8b44f2","Background: Brain-computer interfacing (BCI) applications based on the classification of electroencephalographic (EEG) signals require solving high-dimensional pattern classification problems with such a relatively small number of training patterns that curse of dimensionality problems usually arise. Multiresolution analysis (MRA) has useful properties for signal analysis in both temporal and spectral analysis, and has been broadly used in the BCI field. However, MRA usually increases the dimensionality of the input data. Therefore, some approaches to feature selection or feature dimensionality reduction should be considered for improving the performance of the MRA based BCI. Methods: This paper investigates feature selection in the MRA-based frameworks for BCI. Several wrapper approaches to evolutionary multiobjective feature selection are proposed with different structures of classifiers. They are evaluated by comparing with baseline methods using sparse representation of features or without feature selection. Results and conclusion: The statistical analysis, by applying the Kolmogorov-Smirnoff and Kruskal-Wallis tests to the means of the Kappa values evaluated by using the test patterns in each approach, has demonstrated some advantages of the proposed approaches. In comparison with the baseline MRA approach used in previous studies, the proposed evolutionary multiobjective feature selection approaches provide similar or even better classification performances, with significant reduction in the number of features that need to be computed. © 2016 The Author(s).","All Open Access; Gold Open Access; Green Open Access"
"Wright B.A.; LeBlanc E.K.; Little D.F.; Conderman J.S.; Glavin C.C.","Wright, Beverly A. (7402346523); LeBlanc, Emma K. (56323176900); Little, David F. (57197561056); Conderman, Jessica S. (57208654219); Glavin, Courtney Coburn (57208648752)","7402346523; 56323176900; 57197561056; 57208654219; 57208648752","Semi-supervised learning of a nonnative phonetic contrast: How much feedback is enough?","2019","2","10.3758/s13414-019-01741-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065434102&doi=10.3758%2fs13414-019-01741-4&partnerID=40&md5=f77c918e2fb60a919f96bddbbb80b005","Semi-supervised learning refers to learning that occurs when feedback about performance is provided on only a subset of training trials. Algorithms for semi-supervised learning are popular in machine learning because of their minimal reliance on labeled data. There have been, however, only a few reports of semi-supervised learning in humans. Here we document human semi-supervised learning on a nonnative phonetic classification task. Classification performance remained unchanged when 60 feedback trials were provided on each of the two days of training. In contrast, performance improved when 60 feedback trials were combined with 240 no-feedback trials each day. In variants of this successful semi-supervised regimen, increasing the daily number of feedback trials from 60 to 240 did not increase the amount of learning, while decreasing that number to 30 abolished learning. Finally, replacing the no-feedback trials with stimulus exposure alone had little effect on the outcome. These results were an unexpected consequence of combining training periods with feedback and testing periods without feedback, illustrating that no-feedback testing can influence learning outcomes. More broadly, these data suggest that task performance with feedback can function as an all-or-none trigger for recruiting the contribution of trials without feedback, or mere stimulus exposures, to human learning. © 2019, The Psychonomic Society, Inc.","All Open Access; Bronze Open Access"
"Garcia-Sillas D.; Gorrostieta-Hurtado E.; Soto-Vargas E.; Diaz-Delgado G.; Rodriguez-Rivero C.","Garcia-Sillas, Daniel (56786294900); Gorrostieta-Hurtado, Efren (14631923400); Soto-Vargas, Emilio (57192437079); Diaz-Delgado, Guillermo (24450379400); Rodriguez-Rivero, Cristian (57086952800)","56786294900; 14631923400; 57192437079; 24450379400; 57086952800","Learning from demonstration with Gaussian processes","2016","5","10.1109/MAIS.2016.7761899","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006355065&doi=10.1109%2fMAIS.2016.7761899&partnerID=40&md5=b58c655f6aa19e9e0664787157d04d31","There is huge potential in the field of robotics for the application of machine learning methodologies, particularly in the case of learning by demonstration, which considerably reduces the time required to program robotic actions, and in addition, makes robotic movements more natural. Within machine learning domain supervised, unsupervised and reinforcement learning classifications can be found. Among these, the most widely used is supervised learning. This allows two learning tasks: classification and regression. The Gaussian process model is one of the methodologies used for regression. Through regression, a learning process can be performed, allowing to learn by demonstration from a given data set. In this article, the development of a learning method is presented, it is based on Gaussian process regression and intended to be applied in robotic platforms which require to learn quickly and incrementally, since the robots today maintain more contact with the environment and therefore with the human. That is why the Gaussian processes have the characteristics required to develop this type of control for robots. In this paper, a non-parametric regression model such Gaussian process is investigated, as well as how this can be applied to learning from demonstration framework. © 2016 IEEE.",""
"Garcia D.; Gorrostieta E.; Soto E.V.; Rivero C.R.; Delgado G.D.","Garcia, Daniel (56520258500); Gorrostieta, Efren (14631923400); Soto, Emilio Vargas (57197199340); Rivero, Cristian Rodriguez (57086952800); Delgado, Guillermo Diaz (57197343798)","56520258500; 14631923400; 57197199340; 57086952800; 57197343798","Learning from demonstration with Gaussian process approach for an omni-directional mobile robot","2018","5","10.1109/TLA.2018.8362164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048229495&doi=10.1109%2fTLA.2018.8362164&partnerID=40&md5=49938108e8f98b381631ae9b47dd40c3","There is great potential in robotics for the application of methodologies related to machine learning, and aiming to the learning from demonstration framework, which helps in a remarkable way to reduce the programming times of the movements of a Robot and in addition to this allows the movements to be more natural and smooth. Machine learning can be found in diverse derivations as the supervised, non-supervised and reinforced learning. One of the most used is supervised learning, which can be divided into two main tasks: Classification and regression. To perform regression, one of the methodologies widely used is the Gaussian Process (GP). Learning from Demonstration (LfD) can be seen as a regression problem given a data set. In this article, the development of a learning method based on Gaussian Process and applied to a mobile robotic platform is presented. This implies that the learning has to be performed very fast and incrementally, this because the data arrives frequently and abundantly. The GP offers great precision in learning and meets the characteristics to perform control in robots. This paper investigates the regression methodology using GP as well as its application in demonstration learning. © 2003-2012 IEEE.",""
"Dong C.; Liu Q.; Wang Z.; Zhang Y.; Zhao F.","Dong, Cerui (59420914400); Liu, Qinying (57223911417); Wang, Zilei (8860156900); Zhang, Yixin (57220899570); Zhao, Feng (57225866170)","59420914400; 57223911417; 8860156900; 57220899570; 57225866170","Context Sensitive Network for weakly-supervised fine-grained temporal action localization","2025","0","10.1016/j.neunet.2025.107140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216567120&doi=10.1016%2fj.neunet.2025.107140&partnerID=40&md5=4a9bfd30454cb0bbadae3fc355fbe8e8","Weakly-supervised fine-grained temporal action localization seeks to identify fine-grained action instances in untrimmed videos using only video-level labels. The primary challenge in this task arises from the subtle distinctions among various fine-grained action categories, which complicate the accurate localization of specific action instances. In this paper, we note that the context information embedded within the videos plays a crucial role in overcoming this challenge. However, we also find that effectively integrating context information across different scales is non-trivial, as not all scales provide equally valuable information for distinguishing fine-grained actions. Based on these observations, we propose a weakly-supervised fine-grained temporal action localization approach termed the Context Sensitive Network, which aims to fully leverage context information. Specifically, we first introduce a multi-scale context extraction module designed to efficiently capture multi-scale temporal contexts. Subsequently, we develop a scale-sensitive context gating module that facilitates interaction among multi-scale contexts and adaptively selects informative contexts based on varying video content. Extensive experiments conducted on two benchmark datasets, FineGym and FineAction, demonstrate that our approach achieves state-of-the-art performance. © 2025 Elsevier Ltd",""
"Sorkun M.C.; Danişman A.E.; Incel O.D.","Sorkun, Murat Cihan (57200274163); Danişman, Ahmet Emre (57203168009); Incel, Özlem Durmaz (15131686400)","57200274163; 57203168009; 15131686400","Human activity recognition with mobile phone sensors: Impact of sensors and window size; [Akilli telefon algilayicilari ile aktivite tanima: algilayicilarin ve pencere boyunun etkisi]","2018","8","10.1109/SIU.2018.8404569","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050819698&doi=10.1109%2fSIU.2018.8404569&partnerID=40&md5=82ec7d7f1363516f598370e0692c2a5c","With the help of the sensors available on smart phones and smart watches, inference on user context, particularly the activity, can be inferred. Raw data collected from the sensors enables the classification of human activities with machine learning algorithms. In studies focusing on mile activity recognition, usually the motion sensors, such as accelerometer and gyroscope are used. In this paper, our aim is to analyze the performance of activity classification when these sensors are used separately or in combination. By using a dataset which is collected from fifteen participants including six different activities, we extract various features from raw data and afterwards supervised machine learning algorithms are used to train and validate the results. Five different classifiers and different validation methods are used for performance analysis. © 2018 IEEE.",""
"Zhang M.","Zhang, Minghua (58811344600)","58811344600","A Comparative Study on Pre-Trained Models Based on BERT","2024","0","10.1109/ICNLP60986.2024.10692659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207647353&doi=10.1109%2fICNLP60986.2024.10692659&partnerID=40&md5=fc099f910107f1ddfc4201d7d08c8292","The introduction of pre-trained models (PTMs) especially Bidirectional Encoder Representation from Transformer (BERT) [1] brought significant improvements in Natural Language Processing (NLP) tasks and demonstrated the power of transfer learning in large language models. The state-of-the-art performance of BERT on eleven NLP tasks inspired many researchers to focus on building variants based on BERT. This survey is going to collect and investigate the NLP-PTMs researches especially the ones motivated by BERT, concentrating on three main tasks: classifications of their research objects and research methods, and an experimental analysis. The collected papers are going to be classified based on different criteria for each task and provide detailed explanations of why certain research is classified into certain type. In the end, based on the investigation, a future direction for the development of PTMs in NLP is suggested. © 2024 IEEE.",""
"Alku P.; Kodali M.; Laaksonen L.; Kadiri S.R.","Alku, Paavo (7005780945); Kodali, Manila (57220011737); Laaksonen, Laura (13608760900); Kadiri, Sudarsana Reddy (56331292000)","7005780945; 57220011737; 13608760900; 56331292000","AVID: A speech database for machine learning studies on vocal intensity","2024","3","10.1016/j.specom.2024.103039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184995100&doi=10.1016%2fj.specom.2024.103039&partnerID=40&md5=3d30be8332d9a964e355f070d4a9a3a1","Vocal intensity, which is quantified typically with the sound pressure level (SPL), is a key feature of speech. To measure SPL from speech recordings, a standard calibration tone (with a reference SPL of 94 dB or 114 dB) needs to be recorded together with speech. However, most of the popular databases that are used in areas such as speech and speaker recognition have been recorded without calibration information by expressing speech on arbitrary amplitude scales. Therefore, information about vocal intensity of the recorded speech, including SPL, is lost. In the current study, we introduce a new open and calibrated speech/electroglottography (EGG) database named Aalto Vocal Intensity Database (AVID). AVID includes speech and EGG produced by 50 speakers (25 males, 25 females) who varied their vocal intensity in four categories (soft, normal, loud and very loud). Recordings were conducted using a constant mouth-to-microphone distance and by recording a calibration tone. The speech data was labelled sentence-wise using a total of 19 labels that support the utilisation of the data in machine learning (ML) -based studies of vocal intensity based on supervised learning. In order to demonstrate how the AVID data can be used to study vocal intensity, we investigated one multi-class classification task (classification of speech into soft, normal, loud and very loud intensity classes) and one regression task (prediction of SPL of speech). In both tasks, we deliberately warped the level of the input speech by normalising the signal to have its maximum amplitude equal to 1.0, that is, we simulated a scenario that is prevalent in current speech databases. The results show that using the spectrogram feature with the support vector machine classifier gave an accuracy of 82% in the multi-class classification of the vocal intensity category. In the prediction of SPL, using the spectrogram feature with the support vector regressor gave an mean absolute error of about 2 dB and a coefficient of determination of 92%. We welcome researchers interested in classification and regression problems to utilise AVID in the study of vocal intensity, and we hope that the current results could serve as baselines for future ML studies on the topic. © 2024 The Author(s)","All Open Access; Hybrid Gold Open Access"
"Gupta A.; Agrawal R.K.","Gupta, Akshansh (57208444355); Agrawal, R.K. (35291228900)","57208444355; 35291228900","Relevant feature selection from EEG signal for mental task classification","2012","16","10.1007/978-3-642-30220-6_36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861447788&doi=10.1007%2f978-3-642-30220-6_36&partnerID=40&md5=f8ee6bd3b65b90d876617a4739e8f0fa","In last few years, the research community has shown interest in the development of Brain Computer Interface which may assists physically challenged people to communicate with the help of brain signal. The two important components of such BCI system are to determine appropriate features and classification method to achieve better performance. In literature, Empirical Mode Decomposition is suggested for feature extraction from EEG which is suitable for the analysis of non-linear and non-stationary time series. However, the features obtained from EEG may contain irrelevant and redundant features which make them inefficient for machine learning. Relevant features not only decrease the processing time to train a classifier but also provide better generalization. Hence, relevant features which provide maximum classification accuracy are selected using ratio of scatter matrices, Chernoff distance measure and linear regression. The performance of different mental task using different measures used for feature selection is compared and evaluated in terms of classification accuracy. Experimental results show that there is significant improvement in classification accuracy with features selected using all feature selection methods and in particular with ratio of scatter matrices. © 2012 Springer-Verlag.",""
"Das M.; Mahadevappa M.","Das, Madhuparna (58939869700); Mahadevappa, Manjunatha (6604071152)","58939869700; 6604071152","Enhancing ASD Cognitive Assessment with P300 Classification using EMD-based qEEG Wavelet Features","2023","1","10.1109/CERA59325.2023.10455596","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187792833&doi=10.1109%2fCERA59325.2023.10455596&partnerID=40&md5=3215fb99bc3e3e673489daa705c3198f","Individuals with Autism Spectrum Disorder (ASD) often face challenges in effective communication due to deficiencies in their joint attention skills. Brain-Computer Interface (BCI) systems based on the P300 Electroencephalogram (EEG) signal has shown promising results in neuro-rehabilitation training for individuals with Autism spectrum disorder(ASD), helping them overcome these communication barriers. However, detecting the P300 signal in ASD is particularly difficult due to its noisy nature, lower amplitude, and higher latency compared to other individuals. In this paper, we propose a novel application of the Empirical mode decomposition (EMD) using the Hilbert Huang transform to identify the P300 signal in a BCI system involving ASD subjects. Further, the optimized mode was selected and utilized and the qEEG fused time-frequency domain wavelet features were extracted for each selected mode of each individual channel. To address the class imbalance issue in the dataset, To handle imbalanced data, we applied SMOTE for data augmentation, and for optimized feature selection, we used PCA. We conducted a comparative classification analysis using five popular machine-learning classifiers. Among the classifiers, Random Forest outperformed the others, achieving 93% accuracy. These results demonstrate the effectiveness of our approach in enhancing P300 signal identification for joint attention-based cognitive task classification for individuals with ASD, surpassing state-of-the-art methods. © 2023 IEEE.",""
"Li X.; Ren J.","Li, Xinqian (57299326800); Ren, Jia (37096014300)","57299326800; 37096014300","MICQ-IPSO: An effective two-stage hybrid feature selection algorithm for high-dimensional data","2022","23","10.1016/j.neucom.2022.05.048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132700590&doi=10.1016%2fj.neucom.2022.05.048&partnerID=40&md5=8b14c65ecb1c7bb7b69c11c627b749c1","In machine learning and pattern recognition tasks, classification performance is often degraded due to the existence of irrelevant and redundant features, especially for high-dimensional data. As a data preprocessing tool, feature selection can improve classification performance while reducing the number of features. Focusing on high-dimensional data, we propose a novel two-stage hybrid feature selection method that combines the maximum information coefficient (MIC) based Q-learning algorithm and the improved particle swarm optimization (PSO) based algorithm, named as MICQ-IPSO. In the first stage, we employed an intelligent feature pre-screening operation to get a rough feature subset, which introduced MIC value as the correlation measure and automated the determination of the screening threshold by Q-learning. In the second stage, we applied an improved PSO-based method to get an optimal feature subset. During this stage, a swarm initialization strategy based on MIC correlation was used to narrow the search range and accelerate swarm convergence. To further enhance the exploitability, a deeper local search operation was performed in the search region. Moreover, a particle reset strategy was adopted to help particles jump out of the local optimal solution. Finally, we evaluated our algorithm against several state-of-the-art feature selection approaches on 17 benchmark datasets. The experimental results demonstrate the effectiveness and competitiveness of the proposed algorithm. © 2022 Elsevier B.V.",""
"Achroufene A.; Raid L.; Tazibet M.","Achroufene, Achour (56418474100); Raid, Lynda (59536542600); Tazibet, Manel (59536722600)","56418474100; 59536542600; 59536722600","Enhancing Face Detection: A Dual Model Approach with Modified VGG16 Layer","2024","0","10.1109/ICT-DM62768.2024.10798958","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216545471&doi=10.1109%2fICT-DM62768.2024.10798958&partnerID=40&md5=7e4efe85451f0ab7ef5e85397a4df3fe","Face detection is a critical component in various intelligent applications, ranging from security systems to interactive user interfaces. Many face detection methods use deep learning and transfer learning models due to their superior accuracy and robustness. In this paper, we propose an approach based on VGG16 deep learning model tailored for dual output tasks: classification and regression. To enhance model performance, we first built an extensive dataset of facial images and applied data augmentation techniques to improve diversity and robustness. Then, we fine-tuned the VGG16 architecture to integrate dual output layers, optimizing the model for both tasks simultaneously. The proposed model is evaluated and compared to the standard VGG16 model under our dataset and another publicly available dataset. The modified VGG16 outperforms the standard model in terms of precision, accuracy, and execution time.  © 2024 IEEE.",""
"Lee H.; Choi Y.; Kim Y.","Lee, Hosub (38961370900); Choi, Youngsang (55685951600); Kim, Yeojin (56066731400)","38961370900; 55685951600; 56066731400","An adaptive user interface based on Spatiotemporal Structure Learning","2011","11","10.1109/CCNC.2011.5766642","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957924523&doi=10.1109%2fCCNC.2011.5766642&partnerID=40&md5=e916999c28819f87b9e7a960f23647b2","We developed a user interface prototype for t he Android smartphone w hich recommends a number of applications to bes t m atch th e user's cont ext. To consider the user's context of use, we utilized 5 prototypical variables; time, location, weather, emotion, and activities. The developed system derives the best three recommended applications based on the results of supervised learning from such data sets. To consider the history of past context information, in addition to the current one, we developed a novel and effective probabilistic learning and inference algorithm named Spatiotemporal Structure Learning. By extending Nave Bayesian Classifier, the spatiotemporal structure learning can create a probability model which represents relationship between time-series contextual variables. We implemented a prototype system which shows the current context and the inferred recommendation of applications. For the prototype system, w e developed an Android widget application for the user interface and a Java-based server application which learns structure from training data and provides inference results in real-time. To gather training d ata and evaluate proposed system, w e conducted a pilot stud y which showed 69% of accuracy in predicting the user's application usage. The prototype demonstrated the feasibility of an adaptive user interface applied to a state of the art smartphone. We also believe that the suggested spatiotemporal structure learning can be applied to number of application areas including healthcare or energy problems. © 2011 IEEE.",""
"Ramos A.C.; Hernández R.G.; Vellasco M.","Ramos, Alimed Celecia (57193994262); Hernández, René González (57215268137); Vellasco, Marley (56200580000)","57193994262; 57215268137; 56200580000","Feature Selection methods applied to Motor Imagery task classification","2017","16","10.1109/LA-CCI.2016.7885731","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018175869&doi=10.1109%2fLA-CCI.2016.7885731&partnerID=40&md5=c241171c2b5545a354515210062b1a62","Brain Computer Interfaces allow the interaction between a person and their environment using signals extracted directly from the brain. One of the most common non-invasive methods of brain signal acquisition is the electroencephalography (EEG). An EEG based BCI system requires the processing and translation of the EEG signal into significant features that could be converted into commands for the external agent. This system generally involves four steps: preprocessing, feature extraction, feature selection and classification. To guarantee a good classification performance, the application of a convenient feature selection algorithm has a great importance. However, in the literature the information is scarce about a comparison of the different methods, making very difficult the selection of an useful method for a BCI system. In this paper, six feature selection (all separately applied to EEG data) methods: CFS, Consistency, ReliefF, mRmR, C4.5 and Genetic Algorithm are evaluated and compared for Motor Imagery task classification. The validation is made by the performance of five classifiers commonly employed on EEG data: PNN, RBF, SVM, LDA and k-NN. The best result (93,71% of correct classifications) was obtained by the Genetic Algorithm combined with the LDA classifier. © 2016 IEEE.",""
"Detorakis G.; Bartley T.; Neftci E.","Detorakis, Georgios (56300810300); Bartley, Travis (56035288300); Neftci, Emre (36444841100)","56300810300; 56035288300; 36444841100","Contrastive Hebbian learning with random feedback weights","2019","15","10.1016/j.neunet.2019.01.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062243331&doi=10.1016%2fj.neunet.2019.01.008&partnerID=40&md5=61447a1ef0c99402cc6e89c9e851cebb","Neural networks are commonly trained to make predictions through learning algorithms. Contrastive Hebbian learning, which is a powerful rule inspired by gradient backpropagation, is based on Hebb's rule and the contrastive divergence algorithm. It operates in two phases, the free phase, where the data are fed to the network, and a clamped phase, where the target signals are clamped to the output layer of the network and the feedback signals are transformed through the transpose synaptic weight matrices. This implies symmetries at the synaptic level, for which there is no evidence in the brain so far. In this work, we propose a new variant of the algorithm, called random contrastive Hebbian learning, which does not rely on any synaptic weights symmetries. Instead, it uses random matrices to transform the feedback signals during the clamped phase, and the neural dynamics are described by first order non-linear differential equations. The algorithm is experimentally verified by solving a Boolean logic task, classification tasks (handwritten digits and letters), and an autoencoding task. This article also shows how the parameters affect learning, especially the random matrices. We use the pseudospectra analysis to investigate further how random matrices impact the learning process. Finally, we discuss the biological plausibility of the proposed algorithm, and how it can give rise to better computational models for learning. © 2019 Elsevier Ltd","All Open Access; Bronze Open Access; Green Open Access"
"Granitzer M.; Rath A.S.; Kröll M.; Seifert C.; Ipsmiller D.; Devaurs D.; Weber N.; Lindstaedt S.","Granitzer, Michael (8714519100); Rath, Andreas S. (26321937200); Kröll, Mark (9250544000); Seifert, Christin (8850014900); Ipsmiller, Doris (36139701600); Devaurs, Didier (34874658600); Weber, Nicolas (43462234100); Lindstaedt, Stefanie (14022897900)","8714519100; 26321937200; 9250544000; 8850014900; 36139701600; 34874658600; 43462234100; 14022897900","Machine learning based work task classification","2009","11","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953256434&partnerID=40&md5=ad1b8dc83a81694afe23a15ad90c66af","Increasing the productivity of a knowledge worker via intelligent applications requires the identification of a user's current work task, i.e. the current work context a user resides in. In this work we present and evaluate machine learning based work task detection methods. By viewing a work task as sequence of digital interaction patterns of mouse clicks and key strokes, we present (i) a methodology for recording those user interactions and (ii) an in-depth analysis of supervised classification models for classifying work tasks in two different scenarios: a task centric scenario and a user centric scenario. We analyze different supervised classification models, feature types and feature selection methods on a laboratory as well as a real world data set. Results show satisfiable accuracy and high user acceptance by using relatively simple types of features.",""
"Khalid U.; Kaya B.; Kaya M.","Khalid, Usman (59145505100); Kaya, Buket (56007849900); Kaya, Mehmet (55807869900)","59145505100; 56007849900; 55807869900","Contrastive Self-Supervised Learning for Cocoa Disease Classification","2024","0","10.1109/ICSCC62041.2024.10690626","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207492339&doi=10.1109%2fICSCC62041.2024.10690626&partnerID=40&md5=f62880834732c32b99d50dfda70b4b10","Self-supervised learning has shown significant improvement within several disciplines including the health sectors and areas where acquisition of annotated data is difficult. This study focuses on the application of self-supervised learning in tackling cocoa disease detection and classification challenges by taking cocoa swollen shoot virus disease (CSSVD) and anthracnose. Self-supervised learning has proven to offer resilience against both OOD and adversarial attacks and as an alternative to the cost involved in the annotation process of the vast amount of data. This work leverages a contrastive self-supervised learning pretext model trained on cocoa leaves and pods, a remarkable performance was shown when we fine-tuned and pre-trained on a downstream task. Several works are being done on the subject of self-supervised learning and fully-supervised learning. In order to get the best out of these two techniques, we propose a hybrid approach which will combine both SLL and fully supervised learning. Thus in any deep learning project regardless of the amount of annotated dataset around, a pretext model should be developed from the dataset which can then be fined-tuned using the entire dataset at hand. Three models were developed and the best come in as a result of fine-tuning the learnt features using the entire dataset. After performing the downstream task (classification of cocoa diseases) a validation accuracy of 87%, 72% and 69% for the fine-tune, fully-supervised and pre-trained respectively were obtained. This approach holds promise for enhancing the productivity in crop management, particularly in regions like Ghana and Ivory Coast where their GDP relies on cocoa production  © 2024 IEEE.",""
"Degirmenci M.; Yuce Y.K.; Perc M.; Isler Y.","Degirmenci, Murside (57206472130); Yuce, Yilmaz Kemal (18635626400); Perc, Matjaž (6505878570); Isler, Yalcin (6504389809)","57206472130; 18635626400; 6505878570; 6504389809","Statistically significant features improve binary and multiple Motor Imagery task predictions from EEGs","2023","22","10.3389/fnhum.2023.1223307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165580221&doi=10.3389%2ffnhum.2023.1223307&partnerID=40&md5=ec5cc30dd0f7a47d2ae924f8af011c78","In recent studies, in the field of Brain-Computer Interface (BCI), researchers have focused on Motor Imagery tasks. Motor Imagery-based electroencephalogram (EEG) signals provide the interaction and communication between the paralyzed patients and the outside world for moving and controlling external devices such as wheelchair and moving cursors. However, current approaches in the Motor Imagery-BCI system design require effective feature extraction methods and classification algorithms to acquire discriminative features from EEG signals due to the non-linear and non-stationary structure of EEG signals. This study investigates the effect of statistical significance-based feature selection on binary and multi-class Motor Imagery EEG signal classifications. In the feature extraction process performed 24 different time-domain features, 15 different frequency-domain features which are energy, variance, and entropy of Fourier transform within five EEG frequency subbands, 15 different time-frequency domain features which are energy, variance, and entropy of Wavelet transform based on five EEG frequency subbands, and 4 different Poincare plot-based non-linear parameters are extracted from each EEG channel. A total of 1,364 Motor Imagery EEG features are supplied from 22 channel EEG signals for each input EEG data. In the statistical significance-based feature selection process, the best one among all possible combinations of these features is tried to be determined using the independent t-test and one-way analysis of variance (ANOVA) test on binary and multi-class Motor Imagery EEG signal classifications, respectively. The whole extracted feature set and the feature set that contain statistically significant features only are classified in this study. We implemented 6 and 7 different classifiers in multi-class and binary (two-class) classification tasks, respectively. The classification process is evaluated using the five-fold cross-validation method, and each classification algorithm is tested 10 times. These repeated tests provide to check the repeatability of the results. The maximum of 61.86 and 47.36% for the two-class and four-class scenarios, respectively, are obtained with Ensemble Subspace Discriminant among all these classifiers using selected features including only statistically significant features. The results reveal that the introduced statistical significance-based feature selection approach improves the classifier performances by achieving higher classifier performances with fewer relevant components in Motor Imagery task classification. In conclusion, the main contribution of the presented study is two-fold evaluation of non-linear parameters as an alternative to the commonly used features and the prediction of multiple Motor Imagery tasks using statistically significant features. Copyright © 2023 Degirmenci, Yuce, Perc and Isler.","All Open Access; Gold Open Access; Green Open Access"
