Database,cite,author,title,acronym,booktitle,pages,Start Page,End Page,year,publisher,doi,Link,IC1,IC2,IC3,EC1,EC2,EC3,Selected,Note,
ACM,,Norbert Siegmund and Sergiy S. Kolesnikov and Christian K&#228;stner and Sven Apel and Don Batory and Marko Rosenm&#252;ller and Gunter Saake,Predicting Performance via Automated Feature-interaction Detection,ICSE '12,Proceedings of the 34th International Conference on Software Engineering,167--177,,,2012,IEEE Press,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,YES,,
ACM,,Jianmei Guo and Krzysztof Czarnecki and Sven Apely and Norbert Siegmundy and Andrzej Wasowski,Variability-aware Performance Prediction: A Statistical Learning Approach,ASE'13,Proceedings of the 28th IEEE/ACM International Conference on Automated Software Engineering,301--311,,,2013,IEEE Press,10.1109/ASE.2013.6693089,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Variability-aware performance prediction: A statistical learning approach
ACM,,Norbert Siegmund and Alexander Grebhahn and Sven Apel and Christian K&#228;stner,Performance-influence Models for Highly Configurable Systems,ESEC/FSE 2015,Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,284--294,,,2015,ACM,10.1145/2786805.2786845,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Performance-influence models for highly configurable systems
ACM,,Vivek Nair and Tim Menzies and Norbert Siegmund and Sven Apel,Using Bad Learners to Find Good Configurations,ESEC/FSE 2017,Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering,257--267,,,2017,ACM,10.1145/3106237.3106238,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Using bad learners to find good configurations
ACM,,Rodrigo Queiroz and Thorsten Berger and Krzysztof Czarnecki,Towards Predicting Feature Defects in Software Product Lines,FOSD 2016,Proceedings of the 7th International Workshop on Feature-Oriented Software Development,58--62,,,2016,ACM,10.1145/3001867.3001874,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Towards predicting feature defects in software product lines
ACM,,Caio Soares and Juan E. Gilbert,Predicting Cross-country Results Using Feature Selection and Evolutionary Computation,TAPIA '09,"The Fifth Richard Tapia Celebration of Diversity in Computing Conference: Intellect, Initiatives, Insight, and Innovations",41--45,,,2009,ACM,10.1145/1565799.1565809,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Predicting cross-country results using feature selection and evolutionary computation
ACM,,Jagan Mohan Reddy and Chittaranjan Hota,P2P Traffic Classification Using Ensemble Learning,I-CARE '13,Proceedings of the 5th IBM Collaborative Academia Research Exchange Workshop,14:1--14:4,,,2013,ACM,10.1145/2528228.2528243,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for P2P traffic classification,
ACM,,Muhammad Junaid Malik and Thomas Fahringer and Radu Prodan,Execution Time Prediction for Grid Infrastructures Based on Runtime Provenance Data,WORKS '13,Proceedings of the 8th Workshop on Workflows in Support of Large-Scale Science,48--57,,,2013,ACM,10.1145/2534248.2534253,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Execution time prediction for grid infrastructures based on runtime provenance data
ACM,,Andrea Gigli and Claudio Lucchese and Franco Maria Nardini and Raffaele Perego,Fast Feature Selection for Learning to Rank,ICTIR '16,Proceedings of the 2016 ACM International Conference on the Theory of Information Retrieval,167--170,,,2016,ACM,10.1145/2970398.2970433,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Fast feature selection for learning to rank
ACM,,Radu Soricut and Nguyen Bach and Ziyuan Wang,The SDL Language Weaver Systems in the WMT12 Quality Estimation Shared Task,WMT '12,Proceedings of the Seventh Workshop on Statistical Machine Translation,145--151,,,2012,Association for Computational Linguistics,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of a parallel selection method for prediction,
ACM,,Ye Xu and Dan Rockmore,Feature Selection for Link Prediction,PIKM '12,Proceedings of the 5th Ph.D. Workshop on Information and Knowledge,25--32,,,2012,ACM,10.1145/2389686.2389692,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new selection method for link prediction,
ACM,,Dandan Li and Shuzhen Yao and Yu-Hang Liu and Senzhang Wang and Xian-He Sun,Efficient Design Space Exploration via Statistical Sampling and AdaBoost Learning,DAC '16,Proceedings of the 53rd Annual Design Automation Conference,142:1--142:6,,,2016,ACM,10.1145/2897937.2898012,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new learning-based technique,
ACM,,Alessio Angius and Marcello Colledani,Transient Analysis of Asynchronous Markovian Production Lines by Quasi Product Form,ValueTools '13,Proceedings of the 7th International Conference on Performance Evaluation Methodologies and Tools,98--107,,,2013,"ICST (Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering)",10.4108/icst.valuetools.2013.254392,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Not about SPL,
ACM,,Mohamed Hosni and Ali Idri and Alain Abran,Investigating Heterogeneous Ensembles with Filter Feature Selection for Software Effort Estimation,IWSM Mensura '17,Proceedings of the 27th International Workshop on Software Measurement and 12th International Conference on Software Process and Product Measurement,207--220,,,2017,ACM,10.1145/3143434.3143456,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Investigating heterogeneous ensembles with filter feature selection for software effort estimation
ACM,,Nadine Farag and Ghada Hassan,"Predicting the Survivors of the Titanic Kaggle, Machine Learning From Disaster",ICSIE '18,Proceedings of the 7th International Conference on Software and Information Engineering,32--37,,,2018,ACM,10.1145/3220267.3220282,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques to predict disaster,
ACM,,G. H. Rosa and J. P. Papa and L. P. Papa,Feature Selection Using Geometric Semantic Genetic Programming,GECCO '17,Proceedings of the Genetic and Evolutionary Computation Conference Companion,253--254,,,2017,ACM,10.1145/3067695.3076020,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NO,Short paper,
ACM,,Grant Dick,Sensitivity-like Analysis for Feature Selection in Genetic Programming,GECCO '17,Proceedings of the Genetic and Evolutionary Computation Conference,401--408,,,2017,ACM,10.1145/3071178.3071338,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Sensitivity-like analysis for feature selection in genetic programming
ACM,,Safdar Aqeel Safdar and Hong Lu and Tao Yue and Shaukat Ali,Mining Cross Product Line Rules with Multi-objective Search and Machine Learning,GECCO '17,Proceedings of the Genetic and Evolutionary Computation Conference,1319--1326,,,2017,ACM,10.1145/3071178.3071261,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Mining cross product line rules with multi-objective search and machine learning
ACM,,Yusuke Adachi and Naoya Onimura and Takanori Yamashita and Sachio Hirokawa,Classification of Imbalanced Documents by Feature Selection,ICCDA '17,Proceedings of the International Conference on Compute and Data Analysis,228--232,,,2017,ACM,10.1145/3093241.3093246,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Classification of imbalanced documents by feature selection
ACM,,Pavel Valov and Jianmei Guo and Krzysztof Czarnecki,Empirical Comparison of Regression Methods for Variability-aware Performance Prediction,SPLC '15,Proceedings of the 19th International Conference on Software Product Line,186--190,,,2015,ACM,10.1145/2791060.2791069,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,YES,,
ACM,,Hongbo Jiang and Andrew W. Moore and Zihui Ge and Shudong Jin and Jia Wang,Lightweight Application Classification for Network Management,INM '07,Proceedings of the 2007 SIGCOMM Workshop on Internet Network Management,299--304,,,2007,ACM,10.1145/1321753.1321771,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Lightweight application classification for network management
ACM,,Markus Weckesser and Roland Kluge and Martin Pfannem&#252;ller and Michael Matth&#233; and Andy Sch&#252;rr and Christian Becker,Optimal Reconfiguration of Dynamic Software Product Lines Based on Performance-influence Models,SPLC '18,Proceedings of the 22Nd International Systems and Software Product Line Conference - Volume 1,98--109,,,2018,ACM,10.1145/3233027.3233030,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Optimal reconfiguration of dynamic software product lines based on performance-influence models
ACM,,Sa&#226;d Nouinou and Abdellatif El Afia and Sanaa El Fkihi,Overview on Last Advances of Feature Selection,LOPAL '18,Proceedings of the International Conference on Learning and Optimization Algorithms: Theory and Applications,58:1--58:6,,,2018,ACM,10.1145/3230905.3230959,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Overview on last advances of feature selection
ACM,,Gunupudi Rajesh Kumar and Nimmala Mangathayaru and Gugulothu Narsimha and Aravind Cheruvu,Feature Clustering for Anomaly Detection Using Improved Fuzzy Membership Function,ICEMIS '18,Proceedings of the Fourth International Conference on Engineering & MIS 2018,35:1--35:9,,,2018,ACM,10.1145/3234698.3234733,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Feature clustering for anomaly detection using improved fuzzy membership function
ACM,,Todor K. Avramov and Dong Si,Comparison of Feature Reduction Methods and Machine Learning Models for Breast Cancer Diagnosis,ICCDA '17,Proceedings of the International Conference on Compute and Data Analysis,69--74,,,2017,ACM,10.1145/3093241.3093290,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques in Medicine,
ACM,,Munirah Mohd Yusof and Rozlini Mohamed and Noorhaniza Wahid,Benchmark of Feature Selection Techniques with Machine Learning Algorithms for Cancer Datasets,ICAIR-CACRE '16,"Proceedings of the International Conference on Artificial Intelligence and Robotics and the International Conference on Automation, Control and Robotics Engineering",18:1--18:5,,,2016,ACM,10.1145/2952744.2952753,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques in Medicine,
ACM,,Ujjwal Gupta and Manoj Babu and Raid Ayoub and Michael Kishinevsky and Francesco Paterna and Umit Y. Ogras,STAFF: Online Learning with Stabilized Adaptive Forgetting Factor and Feature Selection Algorithm,DAC '18,Proceedings of the 55th Annual Design Automation Conference,177:1--177:6,,,2018,ACM,10.1145/3195970.3196122,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,,
ACM,,George Forman,An Extensive Empirical Study of Feature Selection Metrics for Text Classification,,,1289--1305,,,2003,JMLR.org,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,An extensive empirical study of feature selection metrics for text classification
ACM,,Shota Saito and Shinichi Shirakawa and Youhei Akimoto,Embedded Feature Selection Using Probabilistic Model-based Optimization,GECCO '18,Proceedings of the Genetic and Evolutionary Computation Conference Companion,1922--1925,,,2018,ACM,10.1145/3205651.3208227,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NO,Short paper,
ACM,,Hai Nguyen and Amy Apon,Hierarchical Performance Measurement and Modeling of the Linux File System (Abstracts Only),,,12--12,,,2011,ACM,10.1145/2160803.2160812,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NO,Short paper,
ACM,,Hai Nguyen and Amy Apon,Hierarchical Performance Measurement and Modeling of the Linux File System,ICPE '11,Proceedings of the 2Nd ACM/SPEC International Conference on Performance Engineering,73--84,,,2011,ACM,10.1145/1958746.1958761,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Hierarchical performance measurement and modeling of the Linux file system
ACM,,Awad Younis and Yashwant Malaiya and Charles Anderson and Indrajit Ray,To Fear or Not to Fear That is the Question: Code Characteristics of a Vulnerable Functionwith an Existing Exploit,CODASPY '16,Proceedings of the Sixth ACM Conference on Data and Application Security and Privacy,97--104,,,2016,ACM,10.1145/2857705.2857750,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,This paper tries to identify the attributes of the code containing a vulnerability ,
ACM,,Malek Sarhani and Abdellatif El Afia,Generalization Enhancement of Support Vector Regression in Electric Load Forecasting with Model Selection,LOPAL '18,Proceedings of the International Conference on Learning and Optimization Algorithms: Theory and Applications,19:1--19:6,,,2018,ACM,10.1145/3230905.3230947,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new learning-based technique,
ACM,,Eleftherios Avramidis,Quality Estimation for Machine Translation Output Using Linguistic Analysis and Decoding Features,WMT '12,Proceedings of the Seventh Workshop on Statistical Machine Translation,84--90,,,2012,Association for Computational Linguistics,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for linguistic analysis,
ACM,,Santosh Singh Rathore and Atul Gupta,A Comparative Study of Feature-ranking and Feature-subset Selection Techniques for Improved Fault Prediction,ISEC '14,Proceedings of the 7th India Software Engineering Conference,7:1--7:10,,,2014,ACM,10.1145/2590748.2590755,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,A comparative study of feature-ranking and feature-subset selection techniques for improved fault prediction
ACM,,Mostafa A. Salama and Ghada Hassan,Positive and Negative Feature-Feature Correlation Measure: AddGain,ICSIE '18,Proceedings of the 7th International Conference on Software and Information Engineering,136--140,,,2018,ACM,10.1145/3220267.3220270,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Positive and negative feature-feature correlation measure: Addgain
ACM,,Kirstin Early and Stephen E. Fienberg and Jennifer Mankoff,Test Time Feature Ordering with FOCUS: Interactive Predictions with Minimal User Burden,UbiComp '16,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing,992--1003,,,2016,ACM,10.1145/2971648.2971748,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Test time feature ordering with FOCUS: Interactive predictions with minimal user burden
ACM,,Jason Weston and Andr&#233; Elisseeff and Bernhard Sch&#246;lkopf and Mike Tipping,Use of the Zero Norm with Linear Models and Kernel Methods,,,1439--1461,,,2003,JMLR.org,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new learning-based technique,
ACM,,George Forman,BNS Feature Scaling: An Improved Representation over Tf-idf for Svm Text Classification,CIKM '08,Proceedings of the 17th ACM Conference on Information and Knowledge Management,263--270,,,2008,ACM,10.1145/1458082.1458119,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for svm text classification,
ACM,,Ye Yang and Peng Zheng and Hao He and Tianyu Zheng and Lei Wang and Shan He,An Evaluation Method of Acceptable and Failed Spot Welding Products Based on Image Classification with Transfer Learning Technique,CSAE '18,Proceedings of the 2Nd International Conference on Computer Science and Application Engineering,109:1--109:6,,,2018,ACM,10.1145/3207677.3278004,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for Image Classification,
ACM,,Ruchika Malhotra,Software Quality Predictive Modeling: An Effective Assessment of Experimental Data,ISEC '17,Proceedings of the 10th Innovations in Software Engineering Conference,215--216,,,2017,ACM,10.1145/3021460.3021491,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Software quality predictive modeling: An effective assessment of experimental data
ACM,,Princy George and P. Vinod,Machine Learning Approach for Filtering Spam Emails,SIN '15,Proceedings of the 8th International Conference on Security of Information and Networks,271--274,,,2015,ACM,10.1145/2799979.2800043,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Machine learning approach for filtering spam emails
ACM,,Jeho Oh and Don Batory and Margaret Myers and Norbert Siegmund,Finding Near-optimal Configurations in Product Lines by Random Sampling,ESEC/FSE 2017,Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering,61--71,,,2017,ACM,10.1145/3106237.3106273,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,YES,,
ACM,,Hongliang Fei and Jun Huan,Structure Feature Selection for Graph Classification,CIKM '08,Proceedings of the 17th ACM Conference on Information and Knowledge Management,991--1000,,,2008,ACM,10.1145/1458082.1458212,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new selection method for prediction,
ACM,,Pavel Valov and Jean-Christophe Petkovich and Jianmei Guo and Sebastian Fischmeister and Krzysztof Czarnecki,Transferring Performance Prediction Models Across Different Hardware Platforms,ICPE '17,Proceedings of the 8th ACM/SPEC on International Conference on Performance Engineering,39--50,,,2017,ACM,10.1145/3030207.3030216,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,YES,,
ACM,,Ibraheem Al-Jadir and Kok Wai Wong and Chun Che Fung and Hong Xie,Text Document Clustering Using Memetic Feature Selection,ICMLC 2017,Proceedings of the 9th International Conference on Machine Learning and Computing,415--420,,,2017,ACM,10.1145/3055635.3056603,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Text document clustering using memetic feature selection
ACM,,Richard R. Yang and Mike Borowczak,Predictive Liability Models and Visualizations of High Dimensional Retail Employee Data,ICIAI '18,Proceedings of the 2Nd International Conference on Innovation in Artificial Intelligence,186--190,,,2018,ACM,10.1145/3194206.3195587,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for identifying and managing risky employees.,
ACM,,Adnan Duric and Fei Song,Feature Selection for Sentiment Analysis Based on Content and Syntax Models,WASSA '11,Proceedings of the 2Nd Workshop on Computational Approaches to Subjectivity and Sentiment Analysis,96--103,,,2011,Association for Computational Linguistics,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Feature selection for sentiment analysis based on content and syntax models
ACM,,Abdellatif El Afia and Malek Sarhani,Particle Swarm Optimization for Model Selection of Aircraft Maintenance Predictive Models,BDCA'17,"Proceedings of the 2Nd International Conference on Big Data, Cloud and Applications",47:1--47:12,,,2017,ACM,10.1145/3090354.3090402,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques to predict Aircraft Maintenance,
ACM,,Arun Kumar and Jeffrey Naughton and Jignesh M. Patel and Xiaojin Zhu,To Join or Not to Join?: Thinking Twice About Joins Before Feature Selection,SIGMOD '16,Proceedings of the 2016 International Conference on Management of Data,19--34,,,2016,ACM,10.1145/2882903.2882952,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques to join,
ACM,,Victor Henrique Alves Ribeiro and Gilberto Reynoso-Meza,Online Anomaly Detection for Drinking Water Quality Using a Multi-objective Machine Learning Approach,GECCO '18,Proceedings of the Genetic and Evolutionary Computation Conference Companion,1--2,,,2018,ACM,10.1145/3205651.3208202,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NO,Short paper,
ACM,,I Made Murwantara and Behzad Bordbar and Leandro L. Minku,Measuring Energy Consumption for Web Service Product Configuration,iiWAS '14,Proceedings of the 16th International Conference on Information Integration and Web-based Applications &#38; Services,224--228,,,2014,ACM,10.1145/2684200.2684314,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Measuring energy consumption for web service product configuration
ACM,,Jeya Vikranth Jeyakumar and Eun Sun Lee and Zhengxu Xia and Sandeep Singh Sandha and Nathan Tausik and Mani Srivastava,Deep Convolutional Bidirectional LSTM Based Transportation Mode Recognition,UbiComp '18,Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers,1606--1615,,,2018,ACM,10.1145/3267305.3267529,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new learning-based technique,
ACM,,Ale&#353; Zamuda and Christine Zarges and Gregor Stiglic and Goran Hrovat,Stability Selection Using a Genetic Algorithm and Logistic Linear Regression on Healthcare Records,GECCO '17,Proceedings of the Genetic and Evolutionary Computation Conference Companion,143--144,,,2017,ACM,10.1145/3067695.3076077,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NO,Short paper,
ACM,,Mondelle Simeon and Robert Hilderman,Categorical Proportional Difference: A Feature Selection Method for Text Categorization,AusDM '08,Proceedings of the 7th Australasian Data Mining Conference - Volume 87,201--208,,,2008,"Australian Computer Society, Inc.",,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Categorical proportional difference: A feature selection method for text categorization
ACM,,Fedor Borisyuk and Krishnaram Kenthapadi and David Stein and Bo Zhao,CaSMoS: A Framework for Learning Candidate Selection Models over Structured Queries and Documents,KDD '16,Proceedings of the 22Nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,441--450,,,2016,ACM,10.1145/2939672.2939718,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,"Use of lerning techniques on Structured Queries and Documents for faster search and recommendations, e.g. LinkedIn",
ACM,,William Groves and Maria Gini,On Optimizing Airline Ticket Purchase Timing,,,3:1--3:28,,,2015,ACM,10.1145/2733384,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,On optimizing airline ticket purchase timing
ACM,,Lov Kumar and Santanu Kumar Rath and Ashish Sureka,Empirical Analysis on Effectiveness of Source Code Metrics for Predicting Change-Proneness,ISEC '17,Proceedings of the 10th Innovations in Software Engineering Conference,4--14,,,2017,ACM,10.1145/3021460.3021461,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,"Features do not refer to software feature or to the « configurability » of the system, here « features » mean a property/metric of the source code",
ACM,,Simon Fong,Big Data Mining Algorithms for Fog Computing,BDIOT2017,Proceedings of the International Conference on Big Data and Internet of Thing,57--61,,,2017,ACM,10.1145/3175684.3175730,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Not enough information,
ACM,,Ling Jian and Jundong Li and Huan Liu,Exploiting Multilabel Information for Noise-Resilient Feature Selection,,,52:1--52:23,,,2018,ACM,10.1145/3158675,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new selection method for prediction,
ACM,,Saurav Muralidharan and Amit Roy and Mary Hall and Michael Garland and Piyush Rai,Architecture-Adaptive Code Variant Tuning,,,325--338,,,2016,ACM,10.1145/2954680.2872411,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Architecture-adaptive code variant tuning
ACM,,Saurav Muralidharan and Amit Roy and Mary Hall and Michael Garland and Piyush Rai,Architecture-Adaptive Code Variant Tuning,,,325--338,,,2016,ACM,10.1145/2980024.2872411,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Architecture-adaptive code variant tuning
ACM,,Saurav Muralidharan and Amit Roy and Mary Hall and Michael Garland and Piyush Rai,Architecture-Adaptive Code Variant Tuning,ASPLOS '16,Proceedings of the Twenty-First International Conference on Architectural Support for Programming Languages and Operating Systems,325--338,,,2016,ACM,10.1145/2872362.2872411,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Architecture-adaptive code variant tuning
ACM,,Saurav Muralidharan and Amit Roy and Mary Hall and Michael Garland and Piyush Rai,Architecture-Adaptive Code Variant Tuning,,,325--338,,,2016,ACM,10.1145/2954679.2872411,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,Duplicate,Architecture-adaptive code variant tuning
ACM,,Patrick Simianer and Stefan Riezler and Chris Dyer,Joint Feature Selection in Distributed Stochastic Learning for Large-scale Discriminative Training in SMT,ACL '12,Proceedings of the 50th Annual Meeting of the Association for Computational Linguistics: Long Papers - Volume 1,11--21,,,2012,Association for Computational Linguistics,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new learning-based technique,
ACM,,Ray-I Chang and Chien-Chang Huang and Liang-Bin Lai and Chia-Yun Lee,Query-Based Machine Learning Model for Data Analysis of Infrasonic Signals in Wireless Sensor Networks,ICDSP 2018,Proceedings of the 2Nd International Conference on Digital Signal Processing,114--118,,,2018,ACM,10.1145/3193025.3193031,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for for Data Analysis of Infrasonic Signals in Wireless Sensor Networks,
