ACM,IEEE,SPRINGER,SCIENCE,Database,cite,author,title,acronym,booktitle,pages,Start Page,End Page,#,year,publisher,doi,Link,IC1,IC2,IC3,EC1,EC2,EC3,Selected,Note
#N/A,#N/A,#N/A,#N/A,Scopus,,"Wang T., Li W.",Kernel learning and optimization with Hilbert–Schmidt independence criterion,,International Journal of Machine Learning and Cybernetics,1707-1717,1707,1717,11,2018,Springer Verlag,10.1007/s13042-017-0675-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051951107&doi=10.1007%2fs13042-017-0675-7&partnerID=40&md5=d45903181768a75e839c4fdc70df7923,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new learning-based technique
#N/A,#N/A,#N/A,#N/A,Scopus,,"Srinivas V.S., Srikrishna A., Eswara Reddy B.",Automatic Clustering simultaneous Feature Subset Selection using Differential Evolution,,"2018 5th International Conference on Signal Processing and Integrated Networks, SPIN 2018",468-473,468,473,6,2018,Institute of Electrical and Electronics Engineers Inc.,10.1109/SPIN.2018.8474233,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055418106&doi=10.1109%2fSPIN.2018.8474233&partnerID=40&md5=e2619d1dc2c01859f503d2b2530b8dd3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new feature selection method for prediction
#N/A,#N/A,#N/A,#N/A,Scopus,,"Baldwin J.F., Martin T.P., Shanahan J.G.",System identification of fuzzy cartesian granule feature models using genetic programming,,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),91-116,91,116,26,1999,Springer Verlag,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949455604&partnerID=40&md5=979b1e84edb4d006c0df2fedbce9b107,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Out of scope - approach to automatically identify additive Cartesian granule feature models
#N/A,#N/A,#N/A,#N/A,Scopus,,"Ghiassi M., Lee S.",A domain transferable lexicon set for Twitter sentiment analysis using a supervised machine learning approach,,Expert Systems with Applications,197-216,197,216,20,2018,Elsevier Ltd,10.1016/j.eswa.2018.04.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045428342&doi=10.1016%2fj.eswa.2018.04.006&partnerID=40&md5=ae6c4aaab4a543051e85b0db580c12cd,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for Twitter sentiment analysis 
#N/A,#N/A,#N/A,#N/A,Scopus,,"Shiue Y.-R., Guh R.-S.",The optimization of attribute selection in decision tree-based production control systems,,International Journal of Advanced Manufacturing Technology,737-746,737,746,10,2006,,10.1007/s00170-004-2430-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645574902&doi=10.1007%2fs00170-004-2430-y&partnerID=40&md5=8798eb80c3ea744d62d7cdcea77346d8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,"AM: As Hugo pointed out, it's not about ""software"""
#N/A,#N/A,#N/A,#N/A,Scopus,,"Jodpimai P., Sophatsathit P., Lursinsap C.",Re-estimating software effort using prior phase efforts and data mining techniques,,Innovations in Systems and Software Engineering,209-228,209,228,20,2018,Springer London,10.1007/s11334-018-0311-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051060621&doi=10.1007%2fs11334-018-0311-z&partnerID=40&md5=38b8658435aa607f8ca008e4f0494ddd,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for re-estimating software effort
#N/A,#N/A,#N/A,#N/A,Scopus,,"Catal C., Diri B.",Software defect prediction using artificial immune recognition system,,"Proceedings of the IASTED International Conference on Software Engineering, SE 2007",285-290,285,290,6,2007,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35148866968&partnerID=40&md5=5d4cf2d4cb2252e9ec6d9466e8eb95d6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,"again, features here do not refer to configuration options... features are used to predict defects of software modules. It's not about ""configuration"""
#N/A,#N/A,#N/A,#N/A,Scopus,,"Jiang L., Su Z.",Context-aware statistical debugging: From bug predictors to faulty control flow paths,,ASE'07 - 2007 ACM/IEEE International Conference on Automated Software Engineering,184-193,184,193,10,2007,,10.1145/1321631.1321660,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949891686&doi=10.1145%2f1321631.1321660&partnerID=40&md5=ad777b520f8d7b2cf74d83a13ef9f74d,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of statistical techniques on a collection of evaluation profiles of program properties to help localize bugs
#N/A,Measuring Non-Functional Properties in Software Product Line for Product Derivation,#N/A,#N/A,Scopus,,"Siegmund N., Rosenmüller M., Kuhlemann M., Kästner C., Saake G.",Measuring Non-Functional Properties in Software Product Line for Product Derivation,,"Proceedings - Asia-Pacific Software Engineering Conference, APSEC",187-194,187,194,8,2008,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650549777&partnerID=40&md5=123233e4bd30d03337768b2af4ad7e34,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,YES,
#N/A,#N/A,#N/A,#N/A,Scopus,,"Lu Q., Li X., Dong Y.",Structure preserving unsupervised feature selection,,Neurocomputing,36-45,36,45,10,2018,Elsevier B.V.,10.1016/j.neucom.2018.04.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045837615&doi=10.1016%2fj.neucom.2018.04.001&partnerID=40&md5=3aeac3758e3f99dbedebda807fa2bd53,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new learning-based technique
#N/A,#N/A,#N/A,#N/A,Scopus,,"Bolón-Canedo V., Rego-Fernández D., Peteiro-Barral D., Alonso-Betanzos A., Guijarro-Berdiñas B., Sánchez-Maroño N.",On the scalability of feature selection methods on high-dimensional data,,Knowledge and Information Systems,395-442,395,442,48,2018,Springer London,10.1007/s10115-017-1140-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038094020&doi=10.1007%2fs10115-017-1140-3&partnerID=40&md5=8b79faf2553b4a8cc3092a78d8746e69,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Analyzes the scalability of state-of-the-art feature selection methods
#N/A,#N/A,#N/A,#N/A,Scopus,,"Al-Zoubi A.M., Faris H., Alqatawna J., Hassonah M.A.",Evolving Support Vector Machines using Whale Optimization Algorithm for spam profiles detection on online social networks in different lingual contexts,,Knowledge-Based Systems,91-104,91,104,14,2018,Elsevier B.V.,10.1016/j.knosys.2018.04.025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046138392&doi=10.1016%2fj.knosys.2018.04.025&partnerID=40&md5=309409b0e94df577bb69b360fe959d32,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for detecting spam profiles
#N/A,#N/A,#N/A,#N/A,Scopus,,"Cai J., Luo J., Wang S., Yang S.",Feature selection in machine learning: A new perspective,,Neurocomputing,70-79,70,79,10,2018,Elsevier B.V.,10.1016/j.neucom.2017.11.077,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043994324&doi=10.1016%2fj.neucom.2017.11.077&partnerID=40&md5=edd109b0c2dcefd65daab6ed82f86eef,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Survey of feature selection methods for prediction
#N/A,#N/A,#N/A,#N/A,Scopus,,"Lu X., Qu J., Jiang Y., Zhao Y.",Should i invest it? predicting future success of yelp restaurants,,ACM International Conference Proceeding Series,-,,,,2018,Association for Computing Machinery,10.1145/3219104.3229287,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051416149&doi=10.1145%2f3219104.3229287&partnerID=40&md5=2f1f06d927f4dbcd04013cd9f1eb51d4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning to predict future business success based on customer reviews
#N/A,#N/A,#N/A,#N/A,Scopus,,"Martin M., Lebiere C., Fields M., Lennon C.",Learning features while learning to classify: a cognitive model for autonomous systems,,Computational and Mathematical Organization Theory,1-32,1,32,32,2018,Springer New York LLC,10.1007/s10588-018-9279-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049955362&doi=10.1007%2fs10588-018-9279-3&partnerID=40&md5=4b1fc08344ed7d420cefac4ac5b6512e,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning to predict facial expressions of emotion
#N/A,Feature Selection Based on Neighborhood Discrimination Index,#N/A,#N/A,Scopus,,"Wang C., Hu Q., Wang X., Chen D., Qian Y., Dong Z.",Feature selection based on neighborhood discrimination index,,IEEE Transactions on Neural Networks and Learning Systems,2986-2999,2986,2999,14,2018,Institute of Electrical and Electronics Engineers Inc.,10.1109/TNNLS.2017.2710422,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023740271&doi=10.1109%2fTNNLS.2017.2710422&partnerID=40&md5=4379c5a78f41345cfd7eb67a3209fc62,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new feature selection method for prediction
#N/A,#N/A,#N/A,#N/A,Scopus,,"Li W., Jacobs R., Morgan D.",Predicting the thermodynamic stability of perovskite oxides using machine learning models,,Computational Materials Science,454-463,454,463,10,2018,Elsevier B.V.,10.1016/j.commatsci.2018.04.033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046404766&doi=10.1016%2fj.commatsci.2018.04.033&partnerID=40&md5=230c5b2a1f961a4fbba48051fa0d5654,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques to predict the thermodynamic stability of perovskite oxides
#N/A,#N/A,#N/A,#N/A,Scopus,,"Pecli A., Cavalcanti M.C., Goldschmidt R.",Automatic feature selection for supervised learning in link prediction applications: a comparative study,,Knowledge and Information Systems,85-121,85,121,37,2018,Springer London,10.1007/s10115-017-1121-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032204164&doi=10.1007%2fs10115-017-1121-6&partnerID=40&md5=6122a93288698a9bff49c72a9f3d6ad8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Comparative study of feature selection techniques
#N/A,#N/A,#N/A,#N/A,Scopus,,"Tiwari A.K., Shreevastava S., Som T., Shukla K.K.",Tolerance-based intuitionistic fuzzy-rough set approach for attribute reduction,,Expert Systems with Applications,205-212,205,212,8,2018,Elsevier Ltd,10.1016/j.eswa.2018.02.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042235913&doi=10.1016%2fj.eswa.2018.02.009&partnerID=40&md5=90318c231021de1bacfb680c4b6651ef,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Comparative study of feature selection techniques
Reducing Features to Improve Bug Prediction,Reducing Features to Improve Bug Prediction,#N/A,#N/A,Scopus,,"Shivaji S., Whitehead Jr. E.J., Akella R., Kim S.",Reducing features to improve bug prediction,,ASE2009 - 24th IEEE/ACM International Conference on Automated Software Engineering,600-604,600,604,5,2009,,10.1109/ASE.2009.76,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952173362&doi=10.1109%2fASE.2009.76&partnerID=40&md5=b1a260cc1c100c5e0bdf5e722f214357,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of ML techniques to predict the existence of a bug in a change made to a source code file
#N/A,#N/A,#N/A,#N/A,Scopus,,"Olayah F., Alromima W.",Automatic machine learning techniques (AMLT) for arabic text classification based on term collocations,,Journal of Theoretical and Applied Information Technology,3729-3738,3729,3738,10,2018,Little Lion Scientific,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049438569&partnerID=40&md5=5bc65d81cb03f7243dd06762ce3999fc,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for arabic text classification 
#N/A,#N/A,#N/A,#N/A,Scopus,,"Chandra Blessie E., Gnanapriya S.",Feature selection using modified ant colony optimization approach (FS-MACO) based five layered artificial neural network for cross domain opinion mining,,Journal of Theoretical and Applied Information Technology,3600-3611,3600,3611,12,2018,Little Lion Scientific,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049427522&partnerID=40&md5=511bfb2f1f6c59f5777579c85889c60e,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for opinion mining in the e-commerce field
#N/A,Deep learning to predict user rating in imbalance classification data incorporating ensemble methods,#N/A,#N/A,Scopus,,"Hendry, Chen R.-C., Liao C.-Y.",Deep learning to predict user rating in imbalance classification data incorporating ensemble methods,,"Proceedings of 4th IEEE International Conference on Applied System Innovation 2018, ICASI 2018",200-203,200,203,4,2018,Institute of Electrical and Electronics Engineers Inc.,10.1109/ICASI.2018.8394567,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050296966&doi=10.1109%2fICASI.2018.8394567&partnerID=40&md5=9e5809454c3b31d94c2a31c5bf57e53c,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NO,Short paper
#N/A,Predicting the housing price direction using machine learning techniques,#N/A,#N/A,Scopus,,"Banerjee D., Dutta S.",Predicting the housing price direction using machine learning techniques,,"IEEE International Conference on Power, Control, Signals and Instrumentation Engineering, ICPCSI 2017",2998-3000,2998,3000,3,2018,Institute of Electrical and Electronics Engineers Inc.,10.1109/ICPCSI.2017.8392275,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050096523&doi=10.1109%2fICPCSI.2017.8392275&partnerID=40&md5=3d85a206b4bba94b14a339db0c9235e6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NO,Short paper
#N/A,#N/A,#N/A,#N/A,Scopus,,"Lv C., Li A., Xu L.",Research and optimization of reconfigurable manufacturing system configuration based on system reliability,,Kybernetes,1058-1065,1058,1065,8,2010,Emerald Group Publishing Ltd.,10.1108/03684921011046834,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954415441&doi=10.1108%2f03684921011046834&partnerID=40&md5=4096835a0dc20deba5743df44879e74e,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NO,"AM: should NOT be selected... there is no learning or statistical inference (what's suggested in the intro and conclusion can lead to the confusion). In terms of applicability, configuration/variability is not really apparent (it's not used as in the SE community)"
#N/A,An effective supervised filter based feature selection algorithm using rough set theory,#N/A,#N/A,Scopus,,Bania R.K.,An effective supervised filter based feature selection algorithm using rough set theory,,"2017 International Conference on Energy, Communication, Data Analytics and Soft Computing, ICECDS 2017",2309-2314,2309,2314,6,2018,Institute of Electrical and Electronics Engineers Inc.,10.1109/ICECDS.2017.8389865,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050070939&doi=10.1109%2fICECDS.2017.8389865&partnerID=40&md5=c9d7580fe275386e229659aec5ed654e,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new learning-based technique
#N/A,#N/A,#N/A,#N/A,Scopus,,"Karim M.A., Currie J., Lie T.-T.",A feature based distributed machine learning for post fault restoration of a microgrid under different stochastic scenarios,,"2017 IEEE Innovative Smart Grid Technologies - Asia: Smart Grid for Smart Community, ISGT-Asia 2017",1-6,1,6,6,2018,Institute of Electrical and Electronics Engineers Inc.,10.1109/ISGT-Asia.2017.8378412,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049935373&doi=10.1109%2fISGT-Asia.2017.8378412&partnerID=40&md5=b308a469419e73021c741f38243a0e58,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for post fault restoration
#N/A,Impact of attribute selection on defect proneness prediction in OO software,#N/A,#N/A,Scopus,,"Mishra B., Shukla K.K.",Impact of attribute selection on defect proneness prediction in OO software,,"2011 2nd International Conference on Computer and Communication Technology, ICCCT-2011",367-372,367,372,6,2011,,10.1109/ICCCT.2011.6075151,https://www.scopus.com/inward/record.uri?eid=2-s2.0-82955227979&doi=10.1109%2fICCCT.2011.6075151&partnerID=40&md5=f75da4738711a45f2ac239de5a7fe4ea,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NO,attribute selection = configuration option?
#N/A,#N/A,#N/A,#N/A,Scopus,,[No author name available],Proceedings - International Computer Software and Applications Conference,,Proceedings - International Computer Software and Applications Conference,-,,,,2018,IEEE Computer Society,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055455675&partnerID=40&md5=ab9f431df7826503520e8c3d89d2e089,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NO,Proceedings
#N/A,Scalable Prediction of Non-functional Properties in Software Product Lines,#N/A,#N/A,Scopus,,"Siegmund N., Rosenmüller M., Kästner C., Giarrusso P.G., Apel S., Kolesnikov S.S.",Scalable prediction of non-functional properties in software product lines,,"Proceedings - 15th International Software Product Line Conference, SPLC 2011",160-169,160,169,10,2011,,10.1109/SPLC.2011.20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054063419&doi=10.1109%2fSPLC.2011.20&partnerID=40&md5=3d82677d5d8c6f86be21db7fc85a7383,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,YES,
Hierarchical Performance Measurement and Modeling of the Linux File System,#N/A,#N/A,#N/A,Scopus,,"Nguyen H., Apon A.",Hierarchical performance measurement and modeling of the Linux file system,,ICPE'11 - Proceedings of the 2nd Joint WOSP/SIPEW International Conference on Performance Engineering,73-84,73,84,12,2011,,10.1145/1958746.1958761,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953889798&doi=10.1145%2f1958746.1958761&partnerID=40&md5=8332483a2de435c56a7f882c2b093daa,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO,"AM: The case is relevant and the objective is to (among other) to better understand system parameters of the file system. However there is no sampling or learning phase, a Petri net-like performance model is rather used (manually elaborated and cross-validated with empirical observations). Reject"
#N/A,#N/A,#N/A,#N/A,Scopus,,"Nakatoh T., Hirokawa S., Minami T., Nanri T., Funamori M.",Attribute-based quality classification of academic papers,,Artificial Life and Robotics,235-240,235,240,6,2018,Springer Tokyo,10.1007/s10015-017-0412-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035784586&doi=10.1007%2fs10015-017-0412-z&partnerID=40&md5=85e07cc3615145e60eae0628a4c02e64,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for quality classification of academic papers
#N/A,#N/A,#N/A,#N/A,Scopus,,"Chakraborty T., Chattopadhyay S., Chakraborty A.K.",A novel hybridization of classification trees and artificial neural networks for selection of students in a business school,,OPSEARCH,434-446,434,446,13,2018,Springer India,10.1007/s12597-017-0329-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047419305&doi=10.1007%2fs12597-017-0329-2&partnerID=40&md5=dd380762fb2c6d0bcc270500caf16086,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for selecting quality students for Master of Business Administration (MBA) programs 
#N/A,Empirical study on developer factors affecting tossing path length of bug reports,#N/A,#N/A,Scopus,,"Wu H., Liu H., Ma Y.",Empirical study on developer factors affecting tossing path length of bug reports,,IET Software,258-270,258,270,13,2018,Institution of Engineering and Technology,10.1049/iet-sen.2017.0159,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048119223&doi=10.1049%2fiet-sen.2017.0159&partnerID=40&md5=e837129c954513683938a926eeda44da,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques to predict potential developers for bug reassignment
#N/A,#N/A,#N/A,#N/A,Scopus,,"Bourouis S., Al-Osaimi F.R., Bouguila N., Sallay H., Aldosari F., Al Mashrgy M.",Bayesian inference by reversible jump MCMC for clustering based on finite generalized inverted Dirichlet mixtures,,Soft Computing,1-15,1,15,15,2018,Springer Verlag,10.1007/s00500-018-3244-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047275326&doi=10.1007%2fs00500-018-3244-4&partnerID=40&md5=e257aac58471aa5b4334f999b689200d,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,
#N/A,Feature Selection Based on the Neighborhood Entropy,#N/A,#N/A,Scopus,,"Mariello A., Battiti R.",Feature Selection Based on the Neighborhood Entropy,,IEEE Transactions on Neural Networks and Learning Systems,-,,,,2018,Institute of Electrical and Electronics Engineers Inc.,10.1109/TNNLS.2018.2830700,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047192184&doi=10.1109%2fTNNLS.2018.2830700&partnerID=40&md5=b65512ae553dabad8a7edd6ec0cb68e1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new feature selection method for prediction
#N/A,#N/A,#N/A,#N/A,Scopus,,"Ahmed S., Lee Y., Hyun S.-H., Koo I.",Feature Selection-Based Detection of Covert Cyber Deception Assaults in Smart Grid Communications Networks Using Machine Learning,,IEEE Access,27518-27529,27518,27529,12,2018,Institute of Electrical and Electronics Engineers Inc.,10.1109/ACCESS.2018.2835527,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046825560&doi=10.1109%2fACCESS.2018.2835527&partnerID=40&md5=6ecf373808bcb41400814f700d8cc44c,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new feature selection method for prediction
#N/A,#N/A,#N/A,#N/A,Scopus,,Roychowdhury S.,Ensemble of feature selectors for software fault localization,,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",1351-1356,1351,1356,6,2012,,10.1109/ICSMC.2012.6377921,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872391183&doi=10.1109%2fICSMC.2012.6377921&partnerID=40&md5=cd7cb4f30642403c7b5d6da92ae7115b,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Fault localization based on the use of code coverage information and machine learning techniques
#N/A,#N/A,#N/A,#N/A,Scopus,,"Farag N., Hassan G.","Predicting the survivors of the Titanic - Kaggle, machine learning from disaster -",,ACM International Conference Proceeding Series,32-37,32,37,6,2018,Association for Computing Machinery,10.1145/3220267.3220282,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055570410&doi=10.1145%2f3220267.3220282&partnerID=40&md5=adb3a8380cb508f293a68deb012db297,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of lerning techniques to predict disasters
